loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1 5a:5c:8a:8c:a4:da ff:ff:ff:ff:ff:ff 1
packet in 2 5a:5c:8a:8c:a4:da ff:ff:ff:ff:ff:ff 2
packet in 3 5a:5c:8a:8c:a4:da ff:ff:ff:ff:ff:ff 2
packet in 2 36:53:c7:20:0d:ea 5a:5c:8a:8c:a4:da 1
packet in 1 36:53:c7:20:0d:ea 5a:5c:8a:8c:a4:da 2
packet in 1 5a:5c:8a:8c:a4:da 36:53:c7:20:0d:ea 1
packet in 2 5a:5c:8a:8c:a4:da 36:53:c7:20:0d:ea 2
packet in 1 5a:5c:8a:8c:a4:da ff:ff:ff:ff:ff:ff 1
packet in 2 5a:5c:8a:8c:a4:da ff:ff:ff:ff:ff:ff 2
packet in 3 5a:5c:8a:8c:a4:da ff:ff:ff:ff:ff:ff 2
packet in 3 12:2e:d1:2f:42:08 5a:5c:8a:8c:a4:da 1
packet in 2 12:2e:d1:2f:42:08 5a:5c:8a:8c:a4:da 3
packet in 1 12:2e:d1:2f:42:08 5a:5c:8a:8c:a4:da 2
packet in 1 5a:5c:8a:8c:a4:da 12:2e:d1:2f:42:08 1
packet in 2 5a:5c:8a:8c:a4:da 12:2e:d1:2f:42:08 2
packet in 3 5a:5c:8a:8c:a4:da 12:2e:d1:2f:42:08 2
packet in 2 36:53:c7:20:0d:ea 33:33:ff:20:0d:ea 1
packet in 3 36:53:c7:20:0d:ea 33:33:ff:20:0d:ea 2
packet in 1 36:53:c7:20:0d:ea 33:33:ff:20:0d:ea 2
packet in 2 36:53:c7:20:0d:ea ff:ff:ff:ff:ff:ff 1
packet in 1 36:53:c7:20:0d:ea ff:ff:ff:ff:ff:ff 2
packet in 3 36:53:c7:20:0d:ea ff:ff:ff:ff:ff:ff 2
packet in 3 12:2e:d1:2f:42:08 36:53:c7:20:0d:ea 1
packet in 2 12:2e:d1:2f:42:08 36:53:c7:20:0d:ea 3
packet in 2 36:53:c7:20:0d:ea 12:2e:d1:2f:42:08 1
packet in 3 36:53:c7:20:0d:ea 12:2e:d1:2f:42:08 2
packet in 1 5a:5c:8a:8c:a4:da 33:33:ff:8c:a4:da 1
packet in 2 5a:5c:8a:8c:a4:da 33:33:ff:8c:a4:da 2
packet in 3 5a:5c:8a:8c:a4:da 33:33:ff:8c:a4:da 2
packet in 1 9a:17:75:7a:5f:2c 33:33:ff:7a:5f:2c 2
packet in 3 fe:36:4d:17:b3:59 33:33:ff:17:b3:59 2
packet in 2 36:53:c7:20:0d:ea 33:33:00:00:00:16 1
packet in 1 5a:5c:8a:8c:a4:da 33:33:00:00:00:16 1
packet in 1 36:53:c7:20:0d:ea 33:33:00:00:00:16 2
packet in 3 36:53:c7:20:0d:ea 33:33:00:00:00:16 2
packet in 2 5a:5c:8a:8c:a4:da 33:33:00:00:00:16 2
packet in 3 5a:5c:8a:8c:a4:da 33:33:00:00:00:16 2
packet in 1 9a:17:75:7a:5f:2c 33:33:00:00:00:16 2
packet in 2 a2:2e:58:9f:e4:46 33:33:00:00:00:16 3
packet in 1 a2:2e:58:9f:e4:46 33:33:00:00:00:16 2
packet in 2 a2:2e:58:9f:e4:46 33:33:ff:9f:e4:46 3
packet in 1 a2:2e:58:9f:e4:46 33:33:ff:9f:e4:46 2
packet in 2 d6:d8:6f:17:63:5e 33:33:ff:17:63:5e 2
packet in 3 d6:d8:6f:17:63:5e 33:33:ff:17:63:5e 2
packet in 3 12:2e:d1:2f:42:08 33:33:00:00:00:16 1
packet in 3 12:2e:d1:2f:42:08 33:33:ff:2f:42:08 1
packet in 2 12:2e:d1:2f:42:08 33:33:00:00:00:16 3
packet in 2 12:2e:d1:2f:42:08 33:33:ff:2f:42:08 3
packet in 1 12:2e:d1:2f:42:08 33:33:00:00:00:16 2
packet in 1 12:2e:d1:2f:42:08 33:33:ff:2f:42:08 2
packet in 2 36:53:c7:20:0d:ea 33:33:00:00:00:16 1
packet in 2 36:53:c7:20:0d:ea 33:33:00:00:00:02 1
packet in 3 36:53:c7:20:0d:ea 33:33:00:00:00:16 2
packet in 3 36:53:c7:20:0d:ea 33:33:00:00:00:02 2
packet in 1 36:53:c7:20:0d:ea 33:33:00:00:00:16 2
packet in 1 36:53:c7:20:0d:ea 33:33:00:00:00:02 2
packet in 2 36:53:c7:20:0d:ea 33:33:00:00:00:16 1
packet in 1 36:53:c7:20:0d:ea 33:33:00:00:00:16 2
packet in 3 36:53:c7:20:0d:ea 33:33:00:00:00:16 2
packet in 1 5a:5c:8a:8c:a4:da 33:33:00:00:00:16 1
packet in 1 5a:5c:8a:8c:a4:da 33:33:00:00:00:02 1
packet in 2 5a:5c:8a:8c:a4:da 33:33:00:00:00:16 2
packet in 2 5a:5c:8a:8c:a4:da 33:33:00:00:00:02 2
packet in 3 5a:5c:8a:8c:a4:da 33:33:00:00:00:16 2
packet in 3 5a:5c:8a:8c:a4:da 33:33:00:00:00:02 2
packet in 1 9a:17:75:7a:5f:2c 33:33:00:00:00:16 2
packet in 1 9a:17:75:7a:5f:2c 33:33:00:00:00:02 2
packet in 1 9a:17:75:7a:5f:2c 33:33:00:00:00:16 2
packet in 3 fe:36:4d:17:b3:59 33:33:00:00:00:16 2
packet in 3 fe:36:4d:17:b3:59 33:33:00:00:00:02 2
packet in 1 9a:17:75:7a:5f:2c 33:33:00:00:00:fb 2
packet in 3 fe:36:4d:17:b3:59 33:33:00:00:00:16 2
packet in 1 9a:17:75:7a:5f:2c 33:33:00:00:00:16 2
packet in 3 fe:36:4d:17:b3:59 33:33:00:00:00:fb 2
packet in 2 a2:2e:58:9f:e4:46 33:33:00:00:00:16 3
packet in 2 a2:2e:58:9f:e4:46 33:33:00:00:00:02 3
packet in 1 a2:2e:58:9f:e4:46 33:33:00:00:00:16 2
packet in 1 a2:2e:58:9f:e4:46 33:33:00:00:00:02 2
packet in 2 a2:2e:58:9f:e4:46 33:33:00:00:00:16 3
packet in 1 9a:17:75:7a:5f:2c 33:33:00:00:00:fb 2
packet in 1 a2:2e:58:9f:e4:46 33:33:00:00:00:16 2
packet in 3 fe:36:4d:17:b3:59 33:33:00:00:00:16 2
packet in 2 d6:d8:6f:17:63:5e 33:33:00:00:00:16 2
packet in 2 d6:d8:6f:17:63:5e 33:33:00:00:00:02 2
packet in 3 d6:d8:6f:17:63:5e 33:33:00:00:00:16 2
